Protein_ID;Gene Name;log2_FC;p_val;p_adj;significant;EV_vs_EV_CAP_significant;imputed;num_NAs
O00458;IFRD1;-1.07;8.24E-09;1.32E-06;TRUE;TRUE;FALSE;0
O00622;CCN1;1.34;0.00403;0.0409;TRUE;TRUE;FALSE;0
O00762;UBE2C;1.51;1.82E-05;0.000771;TRUE;TRUE;TRUE;1
O14495;PLPP3;1.7;1.58E-05;0.000678;TRUE;TRUE;TRUE;2
O14965;AURKA;1.54;1.37E-08;1.92E-06;TRUE;TRUE;TRUE;1
O60356;NUPR1;-1.5;0.000179;0.00416;TRUE;TRUE;TRUE;1
O94907;DKK1;1.77;2.01E-10;5.78E-08;TRUE;TRUE;FALSE;0
O95229;ZWINT;1.39;6.30E-09;1.04E-06;TRUE;TRUE;FALSE;0
O95235;KIF20A;1.15;0.000149;0.00363;TRUE;TRUE;TRUE;5
O95864;FADS2;2.1;4.65E-08;5.63E-06;TRUE;TRUE;FALSE;0
P00374;DHFR;1.09;0.000889;0.0142;TRUE;TRUE;TRUE;2
P00750;PLAT;1.13;0.000525;0.0094;TRUE;TRUE;FALSE;0
P01130;LDLR;1.05;0.000195;0.0044;TRUE;TRUE;FALSE;0
P04183;TK1;1.08;7.43E-10;1.69E-07;TRUE;TRUE;FALSE;0
P04818;TYMS;1.61;6.31E-20;3.44E-16;TRUE;TRUE;FALSE;0
P10124;SRGN;1.21;3.84E-07;3.55E-05;TRUE;TRUE;FALSE;0
P11926;ODC1;1.42;0.000104;0.00279;TRUE;TRUE;TRUE;10
P12110;COL6A2;1.06;1.70E-12;1.32E-09;TRUE;TRUE;FALSE;0
P22692;IGFBP4;1.11;3.92E-10;9.29E-08;TRUE;TRUE;FALSE;0
P24385;CCND1;1.43;9.70E-07;7.35E-05;TRUE;TRUE;FALSE;0
P24593;IGFBP5;1.83;2.65E-06;0.000168;TRUE;TRUE;TRUE;5
P25815;S100P;-1.13;0.00363;0.0378;TRUE;TRUE;FALSE;0
P30530;AXL;1.13;1.15E-10;4.20E-08;TRUE;TRUE;FALSE;0
P31350;RRM2;1.77;1.19E-11;5.57E-09;TRUE;TRUE;FALSE;0
P48436;SOX9;1.34;1.08E-06;7.94E-05;TRUE;TRUE;TRUE;1
P54259;ATN1;1.38;0.00522;0.0494;TRUE;TRUE;TRUE;10
P61587;RND3;-1.81;1.33E-09;2.79E-07;TRUE;TRUE;FALSE;0
P78504;JAG1;1.28;5.48E-06;0.00029;TRUE;TRUE;TRUE;2
Q01581;HMGCS1;1.71;3.16E-19;8.61E-16;TRUE;TRUE;FALSE;0
Q03403;TFF2;-1.47;8.14E-07;6.53E-05;TRUE;TRUE;TRUE;1
Q06609;RAD51;1.14;0.000132;0.00334;TRUE;TRUE;TRUE;4
Q12834;CDC20;1.57;9.61E-07;7.35E-05;TRUE;TRUE;TRUE;2
Q12841;FSTL1;1.19;8.86E-08;9.86E-06;TRUE;TRUE;FALSE;0
Q12983;BNIP3;1.68;1.28E-07;1.35E-05;TRUE;TRUE;TRUE;1
Q14512;FGFBP1;1.15;0.00059;0.0104;TRUE;TRUE;FALSE;0
Q14693;LPIN1;1.15;6.35E-07;5.50E-05;TRUE;TRUE;FALSE;0
Q15004;PCLAF;2.58;8.31E-14;7.55E-11;TRUE;TRUE;TRUE;4
Q15800;MSMO1;1.12;0.00313;0.0343;TRUE;TRUE;TRUE;9
Q16763;UBE2S;1.35;2.53E-14;2.76E-11;TRUE;TRUE;FALSE;0
Q1L6U9;MSMP;1.36;0.000417;0.00792;TRUE;TRUE;FALSE;0
Q53EZ4;CEP55;1.21;5.96E-05;0.0019;TRUE;TRUE;TRUE;2
Q53GA4;PHLDA2;1.29;3.59E-08;4.56E-06;TRUE;TRUE;FALSE;0
Q6NUK4;REEP3;1.04;3.52E-05;0.00125;TRUE;TRUE;FALSE;0
Q6PL18;ATAD2;1.31;2.69E-05;0.00102;TRUE;TRUE;TRUE;2
Q8ND90;PNMA1;1.16;0.00378;0.039;TRUE;TRUE;TRUE;10
Q96B01;RAD51AP1;1.55;1.96E-06;0.000132;TRUE;TRUE;TRUE;2
Q96B02;UBE2W;1.13;7.87E-06;0.000387;TRUE;TRUE;FALSE;0
Q96D15;RCN3;1.06;3.91E-09;7.53E-07;TRUE;TRUE;FALSE;0
Q96FF9;CDCA5;1.04;1.98E-07;2.04E-05;TRUE;TRUE;FALSE;0
Q96RU7;TRIB3;-1.97;4.23E-07;3.79E-05;TRUE;TRUE;TRUE;4
Q96T88;UHRF1;1.01;8.61E-09;1.34E-06;TRUE;TRUE;FALSE;0
Q99541;PLIN2;-2.82;4.12E-08;5.11E-06;TRUE;TRUE;TRUE;5
Q99988;GDF15;-1.85;2.44E-14;2.76E-11;TRUE;TRUE;FALSE;0
Q9BT30;ALKBH7;1.02;0.00186;0.024;TRUE;TRUE;TRUE;5
Q9BW19;KIFC1;1.15;8.74E-15;1.59E-11;TRUE;TRUE;FALSE;0
Q9BXS6;NUSAP1;1.1;2.54E-06;0.000167;TRUE;TRUE;FALSE;0
Q9HBU6;ETNK1;1.03;0.00014;0.00349;TRUE;TRUE;TRUE;2
Q9NPD8;UBE2T;1.71;9.82E-08;1.07E-05;TRUE;TRUE;TRUE;5
Q9NQW6;ANLN;1.15;3.29E-10;8.16E-08;TRUE;TRUE;FALSE;0
Q9UHI8;ADAMTS1;-1.17;0.000605;0.0106;TRUE;TRUE;TRUE;4
Q9UJM3;ERRFI1;-1.38;1.90E-08;2.59E-06;TRUE;TRUE;FALSE;0
Q9ULW0;TPX2;1.11;1.49E-10;4.77E-08;TRUE;TRUE;FALSE;0
Q9Y4E5;ZNF451;-1.13;3.97E-06;0.000234;TRUE;TRUE;FALSE;0
Q9Y5V3;MAGED1;1.31;5.37E-06;0.000287;TRUE;TRUE;FALSE;0
A0A0B4J2A2;PPIAL4C;-0.0126;0.99;0.999;FALSE;FALSE;TRUE;10
A0A0B4J2F0;PIGBOS1;-0.307;0.43;0.744;FALSE;FALSE;TRUE;3
A0AV96;RBM47;0.124;0.714;0.909;FALSE;FALSE;TRUE;5
A0AVT1;UBA6;-0.145;0.00158;0.0215;FALSE;FALSE;FALSE;0
A0FGR8;ESYT2;-0.00364;0.965;0.995;FALSE;FALSE;FALSE;0
A0JNW5;BLTP3B;-0.118;0.568;0.829;FALSE;FALSE;TRUE;1
A0MZ66;SHTN1;0.0958;0.267;0.591;FALSE;FALSE;FALSE;0
A1KXE4;FAM168B;0.784;0.00756;0.0643;FALSE;FALSE;FALSE;0
A1L0T0;ILVBL;-0.154;0.34;0.671;FALSE;FALSE;FALSE;0
A1X283;SH3PXD2B;0.0493;0.593;0.847;FALSE;FALSE;FALSE;0
A2RRP1;NBAS;-0.286;0.102;0.35;FALSE;FALSE;FALSE;0
A2RTX5;TARS3;-0.309;0.31;0.641;FALSE;FALSE;TRUE;7
A3KMH1;VWA8;-0.28;0.000298;0.00627;FALSE;FALSE;FALSE;0
A3KN83;SBNO1;0.628;0.00237;0.0277;FALSE;FALSE;FALSE;0
A4D1P6;WDR91;0.049;0.81;0.951;FALSE;FALSE;FALSE;0
A5A3E0;POTEF;-0.075;0.462;0.77;FALSE;FALSE;FALSE;0
A5D8V6;VPS37C;0.213;0.0897;0.324;FALSE;FALSE;FALSE;0
A5YKK6;CNOT1;-0.086;0.182;0.488;FALSE;FALSE;FALSE;0
A6NCE7;MAP1LC3B2;-0.194;0.579;0.837;FALSE;FALSE;FALSE;0
A6NDG6;PGP;-0.0885;0.236;0.553;FALSE;FALSE;FALSE;0
A6NDU8;RIMOC1;0.244;0.402;0.722;FALSE;FALSE;FALSE;0
A6NFQ2;TCAF2;0.377;0.0559;0.242;FALSE;FALSE;FALSE;0
A6NHR9;SMCHD1;-0.0702;0.317;0.649;FALSE;FALSE;FALSE;0
A6NIH7;UNC119B;0.0255;0.828;0.956;FALSE;FALSE;FALSE;0
A6NJ78;METTL15;0.259;0.251;0.569;FALSE;FALSE;TRUE;1
A6NKD9;CCDC85C;-0.0849;0.824;0.955;FALSE;FALSE;TRUE;11
A7E2V4;ZSWIM8;0.613;0.003;0.0334;FALSE;FALSE;FALSE;0
A8CG34;POM121C;-0.0416;0.751;0.928;FALSE;FALSE;FALSE;0
A8MWD9;SNRPGP15;0.0459;0.716;0.91;FALSE;FALSE;FALSE;0
B7ZAQ6;GPR89A;0.247;0.71;0.906;FALSE;FALSE;TRUE;5
B7ZBB8;PPP1R3G;-0.153;0.57;0.831;FALSE;FALSE;TRUE;11
B7ZW38;HNRNPCL3;0.00842;0.989;0.999;FALSE;FALSE;TRUE;6
C4AMC7;WASH3P;-0.0511;0.711;0.907;FALSE;FALSE;FALSE;0
C9JLW8;MCRIP1;0.327;0.000613;0.0107;FALSE;FALSE;FALSE;0
E9PAV3;NACA;0.13;0.0159;0.106;FALSE;FALSE;FALSE;0
E9PRG8;C11orf98;0.00133;0.989;0.999;FALSE;FALSE;FALSE;0
L0R6Q1;SLC35A4;-0.199;0.00149;0.0207;FALSE;FALSE;FALSE;0
L0R819;ASDURF;0.349;0.00219;0.0264;FALSE;FALSE;FALSE;0
O00115;DNASE2;0.212;0.548;0.82;FALSE;FALSE;FALSE;0
O00116;AGPS;-0.52;9.08E-09;1.38E-06;FALSE;FALSE;FALSE;0
O00139;KIF2A;0.0551;0.322;0.653;FALSE;FALSE;FALSE;0
O00148;DDX39A;-0.053;0.431;0.745;FALSE;FALSE;FALSE;0
O00151;PDLIM1;0.00272;0.984;0.999;FALSE;FALSE;FALSE;0
O00154;ACOT7;-0.148;0.00897;0.0716;FALSE;FALSE;FALSE;0
O00159;MYO1C;-0.121;0.237;0.554;FALSE;FALSE;FALSE;0
O00161;SNAP23;0.199;0.0198;0.124;FALSE;FALSE;FALSE;0
O00165;HAX1;-0.198;0.453;0.762;FALSE;FALSE;FALSE;0
O00170;AIP;0.0442;0.623;0.861;FALSE;FALSE;FALSE;0
O00178;GTPBP1;-0.0726;0.698;0.9;FALSE;FALSE;FALSE;0
O00186;STXBP3;-0.0755;0.149;0.439;FALSE;FALSE;FALSE;0
O00193;SMAP;0.137;0.116;0.377;FALSE;FALSE;FALSE;0
O00194;RAB27B;-0.151;0.0657;0.266;FALSE;FALSE;FALSE;0
O00203;AP3B1;-0.0472;0.586;0.841;FALSE;FALSE;FALSE;0
O00213;APBB1;0.206;0.302;0.63;FALSE;FALSE;TRUE;7
O00217;NDUFS8;-0.161;0.151;0.443;FALSE;FALSE;FALSE;0
O00220;TNFRSF10A;-0.399;0.14;0.425;FALSE;FALSE;TRUE;10
O00221;NFKBIE;-0.00244;0.99;0.999;FALSE;FALSE;FALSE;0
O00231;PSMD11;-0.126;0.208;0.522;FALSE;FALSE;FALSE;0
O00232;PSMD12;-0.116;0.0449;0.212;FALSE;FALSE;FALSE;0
O00233;PSMD9;-0.0599;0.423;0.74;FALSE;FALSE;FALSE;0
O00244;ATOX1;0.0761;0.421;0.739;FALSE;FALSE;FALSE;0
O00255;MEN1;-0.307;0.343;0.673;FALSE;FALSE;TRUE;3
O00264;PGRMC1;-0.0993;0.703;0.903;FALSE;FALSE;FALSE;0
O00267;SUPT5H;-0.0096;0.909;0.979;FALSE;FALSE;FALSE;0
O00268;TAF4;0.0101;0.961;0.995;FALSE;FALSE;FALSE;0
O00273;DFFA;-0.0542;0.645;0.873;FALSE;FALSE;FALSE;0
O00291;HIP1;0.0985;0.647;0.875;FALSE;FALSE;TRUE;2
O00299;CLIC1;-0.107;0.177;0.482;FALSE;FALSE;FALSE;0
O00303;EIF3F;-0.091;0.451;0.761;FALSE;FALSE;FALSE;0
O00330;PDHX;-0.157;0.109;0.364;FALSE;FALSE;FALSE;0
O00391;QSOX1;0.377;9.87E-07;7.38E-05;FALSE;FALSE;FALSE;0
O00400;SLC33A1;-0.323;0.024;0.139;FALSE;FALSE;FALSE;0
O00401;WASL;0.012;0.92;0.982;FALSE;FALSE;FALSE;0
O00410;IPO5;-0.12;0.399;0.72;FALSE;FALSE;FALSE;0
O00411;POLRMT;-0.183;0.0702;0.277;FALSE;FALSE;FALSE;0
O00422;SAP18;0.00794;0.922;0.982;FALSE;FALSE;FALSE;0
O00423;EML1;-0.269;0.373;0.701;FALSE;FALSE;TRUE;6
O00425;IGF2BP3;-0.158;0.0968;0.338;FALSE;FALSE;FALSE;0
O00429;DNM1L;-0.215;0.0015;0.0207;FALSE;FALSE;FALSE;0
O00442;RTCA;-0.165;0.284;0.613;FALSE;FALSE;FALSE;0
O00443;PIK3C2A;0.305;0.0438;0.21;FALSE;FALSE;FALSE;0
O00459;PIK3R2;0.21;0.0448;0.212;FALSE;FALSE;FALSE;0
O00461;GOLIM4;-0.083;0.215;0.529;FALSE;FALSE;FALSE;0
O00468;AGRN;0.607;4.00E-12;2.42E-09;FALSE;FALSE;FALSE;0
O00469;PLOD2;0.968;0.000952;0.015;FALSE;FALSE;FALSE;0
O00471;EXOC5;-0.0274;0.778;0.939;FALSE;FALSE;FALSE;0
O00479;HMGN4;-0.183;0.694;0.899;FALSE;FALSE;FALSE;0
O00483;NDUFA4;0.0997;0.531;0.814;FALSE;FALSE;FALSE;0
O00487;PSMD14;-0.205;0.488;0.787;FALSE;FALSE;FALSE;0
O00488;ZNF593;0.119;0.509;0.802;FALSE;FALSE;FALSE;0
O00499;BIN1;0.0944;0.292;0.62;FALSE;FALSE;FALSE;0
O00505;KPNA3;-0.117;0.39;0.713;FALSE;FALSE;FALSE;0
O00506;STK25;0.201;0.352;0.683;FALSE;FALSE;FALSE;0
O00512;BCL9;0.162;0.369;0.699;FALSE;FALSE;TRUE;1
O00515;LAD1;-0.216;0.792;0.945;FALSE;FALSE;FALSE;0
O00522;KRIT1;0.224;0.361;0.691;FALSE;FALSE;FALSE;0
O00541;PES1;-0.216;0.176;0.479;FALSE;FALSE;FALSE;0
O00559;EBAG9;-0.566;0.21;0.523;FALSE;FALSE;TRUE;1
O00560;SDCBP;0.0143;0.932;0.985;FALSE;FALSE;FALSE;0
O00566;MPHOSPH10;-0.156;0.233;0.551;FALSE;FALSE;FALSE;0
O00567;NOP56;-0.267;0.00188;0.0242;FALSE;FALSE;FALSE;0
O00571;DDX3X;0.00772;0.934;0.986;FALSE;FALSE;FALSE;0
O00584;RNASET2;0.0327;0.901;0.978;FALSE;FALSE;TRUE;1
O00592;PODXL;-0.423;0.000172;0.00405;FALSE;FALSE;FALSE;0
O00625;PIR;-0.0696;0.235;0.553;FALSE;FALSE;FALSE;0
O00629;KPNA4;-0.0636;0.703;0.903;FALSE;FALSE;FALSE;0
O00712;NFIB;0.0946;0.284;0.612;FALSE;FALSE;FALSE;0
O00743;PPP6C;-0.0716;0.628;0.863;FALSE;FALSE;FALSE;0
O00750;PIK3C2B;-0.0663;0.577;0.836;FALSE;FALSE;FALSE;0
O00754;MAN2B1;0.114;0.608;0.852;FALSE;FALSE;FALSE;0
O00757;FBP2;0.181;0.753;0.928;FALSE;FALSE;FALSE;0
O00764;PDXK;-0.217;0.0241;0.14;FALSE;FALSE;FALSE;0
O00767;SCD;0.751;0.00818;0.0685;FALSE;FALSE;TRUE;13
O14497;ARID1A;0.107;0.462;0.77;FALSE;FALSE;FALSE;0
O14523;C2CD2L;0.0664;0.721;0.914;FALSE;FALSE;FALSE;0
O14530;TXNDC9;0.267;0.339;0.67;FALSE;FALSE;FALSE;0
O14531;DPYSL4;0.477;0.294;0.623;FALSE;FALSE;TRUE;4
O14545;TRAFD1;0.579;6.96E-05;0.00216;FALSE;FALSE;FALSE;0
O14548;COX7A2L;0.24;0.219;0.534;FALSE;FALSE;FALSE;0
O14561;NDUFAB1;0.247;0.351;0.683;FALSE;FALSE;TRUE;9
O14562;UBFD1;-0.127;0.0755;0.291;FALSE;FALSE;FALSE;0
O14569;CYB561D2;-0.159;0.0537;0.237;FALSE;FALSE;FALSE;0
O14579;COPE;-0.124;0.601;0.849;FALSE;FALSE;FALSE;0
O14604;TMSB4Y;0.487;0.528;0.814;FALSE;FALSE;TRUE;7
O14617;AP3D1;-0.0707;0.308;0.639;FALSE;FALSE;FALSE;0
O14618;CCS;-0.142;0.61;0.854;FALSE;FALSE;FALSE;0
O14639;ABLIM1;-0.126;0.516;0.806;FALSE;FALSE;FALSE;0
O14641;DVL2;0.138;0.265;0.589;FALSE;FALSE;FALSE;0
O14646;CHD1;0.0765;0.528;0.814;FALSE;FALSE;FALSE;0
O14647;CHD2;-0.149;0.482;0.783;FALSE;FALSE;FALSE;0
O14653;GOSR2;-0.0279;0.587;0.842;FALSE;FALSE;FALSE;0
O14656;TOR1A;-0.0176;0.884;0.974;FALSE;FALSE;FALSE;0
O14662;STX16;-0.00243;0.986;0.999;FALSE;FALSE;FALSE;0
O14672;ADAM10;0.111;0.289;0.618;FALSE;FALSE;FALSE;0
O14684;PTGES;-0.0806;0.944;0.99;FALSE;FALSE;TRUE;4
O14730;RIOK3;0.0365;0.686;0.895;FALSE;FALSE;FALSE;0
O14734;ACOT8;-0.286;0.181;0.486;FALSE;FALSE;FALSE;0
O14735;CDIPT;-0.316;0.407;0.726;FALSE;FALSE;TRUE;3
O14737;PDCD5;0.0224;0.846;0.962;FALSE;FALSE;FALSE;0
O14744;PRMT5;-0.228;0.011;0.0832;FALSE;FALSE;FALSE;0
O14745;NHERF1;0.408;3.11E-05;0.00114;FALSE;FALSE;FALSE;0
O14763;TNFRSF10B;-0.286;0.265;0.589;FALSE;FALSE;TRUE;1
O14773;TPP1;0.106;0.759;0.931;FALSE;FALSE;FALSE;0
O14776;TCERG1;-0.042;0.642;0.873;FALSE;FALSE;FALSE;0
O14777;NDC80;0.549;0.00935;0.0741;FALSE;FALSE;FALSE;0
O14786;NRP1;-0.0488;0.84;0.959;FALSE;FALSE;FALSE;0
O14787;TNPO2;-0.092;0.439;0.75;FALSE;FALSE;FALSE;0
O14802;POLR3A;-0.0394;0.821;0.955;FALSE;FALSE;FALSE;0
O14818;PSMA7;-0.0985;0.0302;0.164;FALSE;FALSE;FALSE;0
O14828;SCAMP3;0.0789;0.322;0.654;FALSE;FALSE;FALSE;0
O14841;OPLAH;-0.189;0.0595;0.252;FALSE;FALSE;FALSE;0
O14867;BACH1;0.127;0.498;0.796;FALSE;FALSE;FALSE;0
O14874;BCKDK;-0.138;0.554;0.823;FALSE;FALSE;TRUE;1
O14879;IFIT3;-0.346;0.446;0.757;FALSE;FALSE;TRUE;1
O14880;MGST3;-0.387;0.475;0.779;FALSE;FALSE;TRUE;3
O14893;GEMIN2;-0.325;0.202;0.514;FALSE;FALSE;TRUE;1
O14907;TAX1BP3;0.106;0.193;0.498;FALSE;FALSE;FALSE;0
O14908;GIPC1;0.182;0.15;0.441;FALSE;FALSE;FALSE;0
O14920;IKBKB;0.256;0.254;0.573;FALSE;FALSE;TRUE;4
O14925;TIMM23;-0.113;0.32;0.65;FALSE;FALSE;FALSE;0
O14929;HAT1;0.358;0.000173;0.00405;FALSE;FALSE;FALSE;0
O14936;CASK;-0.0734;0.328;0.66;FALSE;FALSE;FALSE;0
O14949;UQCRQ;0.0268;0.872;0.972;FALSE;FALSE;FALSE;0
O14950;MYL12B;0.0353;0.89;0.976;FALSE;FALSE;FALSE;0
O14964;HGS;-0.0424;0.588;0.842;FALSE;FALSE;FALSE;0
O14967;CLGN;-0.00135;0.993;0.999;FALSE;FALSE;FALSE;0
O14972;VPS26C;-0.0117;0.958;0.994;FALSE;FALSE;TRUE;5
O14974;PPP1R12A;0.00955;0.878;0.973;FALSE;FALSE;FALSE;0
O14976;GAK;0.121;0.417;0.735;FALSE;FALSE;FALSE;0
O14979;HNRNPDL;0.00576;0.937;0.986;FALSE;FALSE;FALSE;0
O14980;XPO1;-0.262;0.0394;0.196;FALSE;FALSE;FALSE;0
O14981;BTAF1;0.271;0.0519;0.231;FALSE;FALSE;FALSE;0
O15014;ZNF609;0.0988;0.755;0.928;FALSE;FALSE;TRUE;2
O15020;SPTBN2;0.00637;0.971;0.996;FALSE;FALSE;FALSE;0
O15027;SEC16A;-0.117;0.0831;0.31;FALSE;FALSE;FALSE;0
O15031;PLXNB2;0.115;0.135;0.416;FALSE;FALSE;FALSE;0
O15042;U2SURP;-0.047;0.498;0.796;FALSE;FALSE;FALSE;0
O15047;SETD1A;0.0338;0.91;0.979;FALSE;FALSE;TRUE;2
O15056;SYNJ2;0.0933;0.267;0.591;FALSE;FALSE;FALSE;0
O15066;KIF3B;-0.0339;0.529;0.814;FALSE;FALSE;FALSE;0
O15067;PFAS;-0.0482;0.42;0.738;FALSE;FALSE;FALSE;0
O15084;ANKRD28;-0.0414;0.766;0.935;FALSE;FALSE;FALSE;0
O15091;PRORP;-0.193;0.226;0.542;FALSE;FALSE;FALSE;0
O15111;CHUK;0.135;0.736;0.92;FALSE;FALSE;TRUE;6
O15116;LSM1;0.00348;0.992;0.999;FALSE;FALSE;TRUE;13
O15118;NPC1;0.147;0.0647;0.265;FALSE;FALSE;FALSE;0
