Protein_ID;Gene Name;log2_FC;p_val;EV_vs_EV_CAP_p.adj;significant;EV_vs_EV_CAP_significant;imputed;num_NAs
O00458;IFRD1;-1.07;8.24E-09;1.32E-06;TRUE;TRUE;FALSE;0
O00622;CCN1;1.34;0.00403;0.0409;TRUE;TRUE;FALSE;0
O00762;UBE2C;1.51;1.82E-05;0.000771;TRUE;TRUE;TRUE;1
O14495;PLPP3;1.7;1.58E-05;0.000678;TRUE;TRUE;TRUE;2
O14965;AURKA;1.54;1.37E-08;1.92E-06;TRUE;TRUE;TRUE;1
O60356;NUPR1;-1.5;0.000179;0.00416;TRUE;TRUE;TRUE;1
O94907;DKK1;1.77;2.01E-10;5.78E-08;TRUE;TRUE;FALSE;0
O95229;ZWINT;1.39;6.30E-09;1.04E-06;TRUE;TRUE;FALSE;0
O95235;KIF20A;1.15;0.000149;0.00363;TRUE;TRUE;TRUE;5
O95864;FADS2;2.1;4.65E-08;5.63E-06;TRUE;TRUE;FALSE;0
P00374;DHFR;1.09;0.000889;0.0142;TRUE;TRUE;TRUE;2
P00750;PLAT;1.13;0.000525;0.0094;TRUE;TRUE;FALSE;0
P01130;LDLR;1.05;0.000195;0.0044;TRUE;TRUE;FALSE;0
P04183;TK1;1.08;7.43E-10;1.69E-07;TRUE;TRUE;FALSE;0
P04818;TYMS;1.61;6.31E-20;3.44E-16;TRUE;TRUE;FALSE;0
P10124;SRGN;1.21;3.84E-07;3.55E-05;TRUE;TRUE;FALSE;0
P11926;ODC1;1.42;0.000104;0.00279;TRUE;TRUE;TRUE;10
P12110;COL6A2;1.06;1.70E-12;1.32E-09;TRUE;TRUE;FALSE;0
P22692;IGFBP4;1.11;3.92E-10;9.29E-08;TRUE;TRUE;FALSE;0
P24385;CCND1;1.43;9.70E-07;7.35E-05;TRUE;TRUE;FALSE;0
P24593;IGFBP5;1.83;2.65E-06;0.000168;TRUE;TRUE;TRUE;5
P25815;S100P;-1.13;0.00363;0.0378;TRUE;TRUE;FALSE;0
P30530;AXL;1.13;1.15E-10;4.20E-08;TRUE;TRUE;FALSE;0
P31350;RRM2;1.77;1.19E-11;5.57E-09;TRUE;TRUE;FALSE;0
P48436;SOX9;1.34;1.08E-06;7.94E-05;TRUE;TRUE;TRUE;1
P54259;ATN1;1.38;0.00522;0.0494;TRUE;TRUE;TRUE;10
P61587;RND3;-1.81;1.33E-09;2.79E-07;TRUE;TRUE;FALSE;0
P78504;JAG1;1.28;5.48E-06;0.00029;TRUE;TRUE;TRUE;2
Q01581;HMGCS1;1.71;3.16E-19;8.61E-16;TRUE;TRUE;FALSE;0
Q03403;TFF2;-1.47;8.14E-07;6.53E-05;TRUE;TRUE;TRUE;1
Q06609;RAD51;1.14;0.000132;0.00334;TRUE;TRUE;TRUE;4
Q12834;CDC20;1.57;9.61E-07;7.35E-05;TRUE;TRUE;TRUE;2
Q12841;FSTL1;1.19;8.86E-08;9.86E-06;TRUE;TRUE;FALSE;0
Q12983;BNIP3;1.68;1.28E-07;1.35E-05;TRUE;TRUE;TRUE;1
Q14512;FGFBP1;1.15;0.00059;0.0104;TRUE;TRUE;FALSE;0
Q14693;LPIN1;1.15;6.35E-07;5.50E-05;TRUE;TRUE;FALSE;0
Q15004;PCLAF;2.58;8.31E-14;7.55E-11;TRUE;TRUE;TRUE;4
Q15800;MSMO1;1.12;0.00313;0.0343;TRUE;TRUE;TRUE;9
Q16763;UBE2S;1.35;2.53E-14;2.76E-11;TRUE;TRUE;FALSE;0
Q1L6U9;MSMP;1.36;0.000417;0.00792;TRUE;TRUE;FALSE;0
Q53EZ4;CEP55;1.21;5.96E-05;0.0019;TRUE;TRUE;TRUE;2
Q53GA4;PHLDA2;1.29;3.59E-08;4.56E-06;TRUE;TRUE;FALSE;0
Q6NUK4;REEP3;1.04;3.52E-05;0.00125;TRUE;TRUE;FALSE;0
Q6PL18;ATAD2;1.31;2.69E-05;0.00102;TRUE;TRUE;TRUE;2
Q8ND90;PNMA1;1.16;0.00378;0.039;TRUE;TRUE;TRUE;10
Q96B01;RAD51AP1;1.55;1.96E-06;0.000132;TRUE;TRUE;TRUE;2
Q96B02;UBE2W;1.13;7.87E-06;0.000387;TRUE;TRUE;FALSE;0
Q96D15;RCN3;1.06;3.91E-09;7.53E-07;TRUE;TRUE;FALSE;0
Q96FF9;CDCA5;1.04;1.98E-07;2.04E-05;TRUE;TRUE;FALSE;0
Q96RU7;TRIB3;-1.97;4.23E-07;3.79E-05;TRUE;TRUE;TRUE;4
Q96T88;UHRF1;1.01;8.61E-09;1.34E-06;TRUE;TRUE;FALSE;0
Q99541;PLIN2;-2.82;4.12E-08;5.11E-06;TRUE;TRUE;TRUE;5
Q99988;GDF15;-1.85;2.44E-14;2.76E-11;TRUE;TRUE;FALSE;0
Q9BT30;ALKBH7;1.02;0.00186;0.024;TRUE;TRUE;TRUE;5
Q9BW19;KIFC1;1.15;8.74E-15;1.59E-11;TRUE;TRUE;FALSE;0
Q9BXS6;NUSAP1;1.1;2.54E-06;0.000167;TRUE;TRUE;FALSE;0
Q9HBU6;ETNK1;1.03;0.00014;0.00349;TRUE;TRUE;TRUE;2
Q9NPD8;UBE2T;1.71;9.82E-08;1.07E-05;TRUE;TRUE;TRUE;5
Q9NQW6;ANLN;1.15;3.29E-10;8.16E-08;TRUE;TRUE;FALSE;0
Q9UHI8;ADAMTS1;-1.17;0.000605;0.0106;TRUE;TRUE;TRUE;4
Q9UJM3;ERRFI1;-1.38;1.90E-08;2.59E-06;TRUE;TRUE;FALSE;0
Q9ULW0;TPX2;1.11;1.49E-10;4.77E-08;TRUE;TRUE;FALSE;0
Q9Y4E5;ZNF451;-1.13;3.97E-06;0.000234;TRUE;TRUE;FALSE;0
Q9Y5V3;MAGED1;1.31;5.37E-06;0.000287;TRUE;TRUE;FALSE;0
P12259;F5;-1.17;0.0125;0.0905;FALSE;FALSE;TRUE;4
Q96CW6;SLC7A6OS;1.1;0.045;0.213;FALSE;FALSE;TRUE;11
Q9H461;FZD8;1.1;0.00657;0.0578;FALSE;FALSE;TRUE;3
