Protein.Group;DMSO_cultbatch1_rep1;DMSO_cultbatch1_rep2;DMSO_cultbatch1_rep3;DMSO_cultbatch1_rep4;DMSO_cultbatch1_rep5;DMSO_cultbatch1_rep6;DMSO_cultbatch2_rep1;DMSO_cultbatch2_rep2;DMSO_cultbatch2_rep3;DMSO_cultbatch2_rep4;DMSO_cultbatch2_rep5;DMSO_cultbatch2_rep6;CAP_cultbatch1_rep1;CAP_cultbatch1_rep2;CAP_cultbatch1_rep3;CAP_cultbatch1_rep4;CAP_cultbatch1_rep5;CAP_cultbatch1_rep6;CAP_cultbatch2_rep1;CAP_cultbatch2_rep2;CAP_cultbatch2_rep3;CAP_cultbatch2_rep4;CAP_cultbatch2_rep5;CAP_cultbatch2_rep6
A0A0B4J2A2;19859.8;19682.1;59882.3;67351;63968.2;38920.2;;;4038.29;;;;15302.8;34533.9;89447;79552.8;71012.9;47138.6;1371.44;;;;;
A0A0B4J2F0;7009.85;4972.7;3614.31;4167.64;4078.82;;11085.3;12259;11703.4;;8250.53;14746.8;7177.81;7015.64;4486.29;4906.22;2610.95;4638.59;;15035.6;13716.3;14016.8;10203.4;10756.9
A0A1W2PR48;33903.4;;10989.4;;;18465.1;;;;;;;41913.5;33001.9;;7878.24;;12855.7;;;;;;
A0AV96;;;669.049;783.616;;868.516;5317.25;;3904.65;3443.62;1859.01;3293.33;826.559;;624.382;667.665;850.3;1314.92;2612.48;3604.06;3686.17;1949.06;1696.09;1751.25
A0AVT1;97082.6;97793.3;74876.1;79274.3;76792.7;84928;95485.8;88097.7;96334.5;96432.7;102183;102485;101765;91392.3;77688.4;79660.3;80255.4;87073.2;105236;105570;100739;103022;109453;101506
A0FGR8;32293.1;32993.6;24392.7;24670;24360.8;25639;36003.5;37883.6;39552.1;40906.8;43404.8;38503.1;33096.1;31500.1;22945.7;24103.4;21030.8;28972.5;34845.7;35954.9;34823.5;37353.5;37012.9;36913.2
A0JNW5;5643.47;6687.38;6788.31;7430.67;7640.01;5610.87;5367.06;;5837.46;5971.46;4170.52;5430.01;5927.66;7847.87;7848.59;6124.42;6615.21;6903.26;4731.69;4271.71;4550.5;3750.58;6175.66;4543.82
A0MZ66;30383.9;28989.6;24053.8;23285.2;24778;24962.3;38241.4;45894;37849.3;37319.5;40206.5;37608.4;27360.8;28085.4;22993.1;21262.5;23360.5;22904.6;32454.8;33827.3;31911.7;32613;34122.9;33797.9
A1KXE4;5573.17;6751.07;2887.15;4770.21;4187.35;4255.04;14328.5;16131.3;14949.4;13707.2;12912.5;15035.6;3836.58;3748.43;2370.09;2415.82;3228.56;3333.8;5106.85;7075.36;6674.21;8523.22;7260.25;4859.73
A1L0T0;24255.4;18827.5;25117;27513.6;27406.3;24112.2;19320.5;27061.1;24937.7;24442.4;11361.9;26394;23124.2;23618.5;28522;30839.3;26552.4;29711.1;27057;22017.4;17967;23455.2;20288.1;19053.7
