Protein.Group;PC3andEV_cultbatch1_rep1;PC3andEV_cultbatch1_rep2;PC3andEV_cultbatch1_rep3;PC3andEV_cultbatch1_rep4;PC3andEV_cultbatch1_rep5;PC3andEV_cultbatch1_rep6;PC3andEV_cultbatch2_rep1;PC3andEV_cultbatch2_rep2;PC3andEV_cultbatch2_rep3;PC3andEV_cultbatch2_rep4;PC3andEV_cultbatch2_rep5;PC3andEV_cultbatch2_rep6;PC3andEV_cultbatch3_rep1;PC3andEV_cultbatch3_rep2;PC3andEV_cultbatch3_rep3;PC3andEV_cultbatch3_rep4;PC3andEV_cultbatch3_rep5;PC3andEV_cultbatch3_rep6;PC3andshTRPV1_cultbatch1_rep1;PC3andshTRPV1_cultbatch1_rep2;PC3andshTRPV1_cultbatch1_rep3;PC3andshTRPV1_cultbatch1_rep4;PC3andshTRPV1_cultbatch1_rep5;PC3andshTRPV1_cultbatch2_rep1;PC3andshTRPV1_cultbatch2_rep2;PC3andshTRPV1_cultbatch2_rep3;PC3andshTRPV1_cultbatch2_rep4;PC3andshTRPV1_cultbatch2_rep5;PC3andshTRPV1_cultbatch2_rep6
A0A0B4J2A2;19859.8;19682.1;59882.3;67351;63968.2;38920.2;;;4038.29;;;;;;;;;;16942.8;11340.3;49785.7;25083.2;43335;3287.17;5561.06;658.473;;;
A0A0B4J2F0;7009.85;4972.7;3614.31;4167.64;4078.82;;11085.3;12259;11703.4;;8250.53;14746.8;7851.38;9439.69;9631.21;7650.84;7884.77;8464.94;8966.45;14818;8893.24;6363.36;12114.1;7391.42;16920.4;11721.9;12456.6;12511.6;8992.07
A0A1W2PR48;33903.4;;10989.4;;;18465.1;;;;;;;;;;;;;;;;;;;;;;;
A0AV96;;;669.049;783.616;;868.516;5317.25;;3904.65;3443.62;1859.01;3293.33;1081.11;1404.86;1363.84;1225.48;652.337;;;;762.121;722.293;;849.232;;;;;
A0AVT1;97082.6;97793.3;74876.1;79274.3;76792.7;84928;95485.8;88097.7;96334.5;96432.7;102183;102485;112686;110908;107978;111304;119541;106862;114212;111807;85503.5;98098.9;94025.5;117294;124945;127348;129928;134657;129172
A0FGR8;32293.1;32993.6;24392.7;24670;24360.8;25639;36003.5;37883.6;39552.1;40906.8;43404.8;38503.1;40993.7;38410.4;39840.1;37873;39827.7;35304.5;74181.4;70264.1;61752.8;59443.7;62716.5;85154.5;81149.9;77954.8;81211.5;89149.4;76240.4
A0JNW5;5643.47;6687.38;6788.31;7430.67;7640.01;5610.87;5367.06;;5837.46;5971.46;4170.52;5430.01;7208.78;4946.83;5456.36;5024.95;5369.63;3954.57;3240.34;5199.9;5490.3;4722.26;4513.09;4081.66;3750.66;3620.9;4892.4;3327.02;2560.79
A0MZ66;30383.9;28989.6;24053.8;23285.2;24778;24962.3;38241.4;45894;37849.3;37319.5;40206.5;37608.4;32419.2;28062.2;31063.4;31855.2;28782.6;30291.2;49030.7;59894.9;47109.4;51990.4;51366.8;57961.4;49184.8;52145.8;51577.5;48850;56181.7
A1KXE4;5573.17;6751.07;2887.15;4770.21;4187.35;4255.04;14328.5;16131.3;14949.4;13707.2;12912.5;15035.6;12282.5;9243.5;13973.8;13049.2;10560.9;10704.1;4014.26;7089.78;4579.42;8603.46;7283.71;14339.6;11930.8;11915.6;11583.1;8934.81;13841.5
A1L0T0;24255.4;18827.5;25117;27513.6;27406.3;24112.2;19320.5;27061.1;24937.7;24442.4;11361.9;26394;30097.7;21440.8;30339.2;29284.9;24952.2;19905.7;19423.6;17788.6;25634.8;21764;26951.6;20920.6;25283.9;20997;19233.4;21465;19779.4
A1X283;6521.54;7153.72;6252.72;5993.7;6685.93;6644.62;10165.8;5706.57;8281.01;9124.14;6978.78;6043.15;7583.37;6221.86;6798.68;6758.23;6449.43;4255.58;6903.13;5889.12;6486.53;5311.68;6933.4;8093.26;8256.56;7109.72;5644.3;8077.2;
A2RRP1;6433.04;7834.12;6754.8;9363.07;8898.63;7809.27;4375.81;4997.81;5387.27;5181.9;5541.21;4921.93;6992.86;6995.74;7397.74;7391.75;5715.74;5694.02;6892.74;6456.63;5546.21;6282.79;6119.26;5536.4;5379.62;6533.85;6420.38;6577.95;5460.27
A2RTX5;1898.34;1471.83;;;435.988;1425.75;2194.68;;2872.43;2395.78;3622.09;;1825.77;1758.96;1413.5;1247.26;;1351.9;2081.83;1778.88;1804.93;2530.48;1434.59;2540.85;2278.93;2066.3;1688.08;1361.04;
A3KMH1;13923.4;14220.3;9781.16;10344.5;12005.5;14897.2;13221.1;10663.6;13273.7;15193.7;13402.8;14425.5;15249.7;15576.6;13475.9;15681.6;16084;14955.9;9388.63;8615.17;8069.62;8664.12;7009.62;11793.3;9644.36;11570.1;11597.7;10324.9;11127.9
A3KN83;10525.8;10567.3;6804.62;5195.05;5226.61;6646.84;14324;13286.9;14433.5;12792.5;13042.8;15602.1;10287.8;9958.1;11922;11223.2;9981.17;10957;6481.7;4679.87;4795.35;3529.84;3098.78;6763.09;7668.1;7501.47;5693.81;7013.25;6118.85
A4D1P6;13869.3;15172.6;10564.3;10061.2;11185.9;13095;6746.13;6750.79;7655.43;7290.74;6794.87;7624.63;11437.8;11205.6;10969.9;12246.5;11289.4;11225.8;9565.92;10260.2;9729;9639.07;10492.6;9208.28;9339.11;12443.9;9303.44;9743.29;7000.5
A4FU69;88778.2;;;19433.7;;;83868.8;;;;84586.5;88921;;;;;;71958.1;;;;;;;;;;87827.3;90776.5
A5A3E0;81828.4;78426.6;81679;88562.6;70443.4;81963.5;126823;61850.3;104653;87847.9;64790;100483;86960.7;56123;57473.4;73767.6;66721.8;57708.7;111594;122178;134453;130659;133153;127875;109541;102147;102866;106722;131903
A5D8V6;18443.5;18496.9;11518.6;12268.5;10143.8;15573.5;20260.4;19132.5;14998.2;13965;17361.4;13061.1;15249.4;14748.9;14858.2;15507.8;13105.1;16687.6;15248.3;21742.3;17643.5;17353.4;20511.7;22858.4;16469;15421.7;13459.6;12359;16963.4
A5YKK6;36248.9;36384.3;32556.5;32681.2;26893.5;30848.3;33582.3;34315.5;39126.8;41737.7;46479.6;33697.6;33076.2;35782.4;35769;34114.1;36653;38783.1;31779.8;31099.3;24473.4;25343.7;25170.3;37626.6;28239;42123.7;34078.1;38517;40140.9
A6NCE7;16044.1;16252.1;7132;6067.39;5573.25;12458.6;31631;46300.4;30401.4;28486.5;37231.8;27042.3;23174;29089.1;29692.2;26408.9;27363.5;27246.6;73359.9;122568;66887.9;85398.4;72537.5;224842;176662;184996;205434;190553;243469
A6NDG6;31610.1;30584.3;26852.7;26180.5;24425.7;28200;37165.5;43014.1;34052.2;37232.4;37572.4;35978.8;44982.1;42481.6;40709.9;47064.8;49662.4;40950.9;23005.3;22506.3;25425.7;20453.5;22991.6;39109.8;36575;36308;34929.2;36696.3;45910.3
A6NDU8;3870.7;1710.76;4901.59;6371.09;4883.18;3242.91;2334.82;2544.77;4088.04;5200.2;1466.96;5443.35;8103.26;3733.77;4005.5;5489.63;5843.72;1689.1;;764.141;1842.36;2193.69;1191.24;985.719;2630.2;948.103;;1980.69;1340.86
A6NFQ2;5953;7011.24;3098.99;4312.98;3851.75;4092.28;7754.48;5794.92;7478.15;9243.73;11444.3;10558.9;12418.9;11427.3;9714.32;10769.7;13594.2;12529.9;17638.1;17586.7;7795.63;10384.1;9140.33;21892;18675;27396.7;23498.1;22039;24161.7
A6NHR9;45740.6;45326.2;38677.8;42722.3;42786;41387.2;45420.9;47136.7;48078.1;47328.9;49461.9;47601.4;40780.4;42301.2;39064.7;42961.7;40703.8;46032.7;29285.3;32019.1;58787.8;58170.6;24288.3;37521.4;37729.7;41149.6;42962.6;35620.5;34158.8
A6NIH7;33473.2;34146.4;22605;19347.8;18885.6;27159.6;23451.4;21539.4;21785.8;21183.3;25065.9;22135.1;24155.2;24122.6;23253.3;26006;23963.4;27677.9;61276.4;64509.9;71198.7;56121.8;56502.4;57773;53459.8;58999;50055.6;54715.1;48209.2
A6NJ78;4336.73;4260.92;4747.74;6281.01;3829.91;3422.08;5681.24;5107;3809.82;4687.78;;4698.41;3787.44;2869.89;4505.66;3430.33;4991.48;5575.34;1070.02;772.853;1125.4;;2292.64;;2388.16;;1433.66;;
A6NKD9;3410.61;3261.03;6123.43;;492.618;1391.7;2173.12;2811.14;2090.97;;835.886;;1439.78;2164.13;943.395;1860.41;;2586.85;;1706.48;;2120.99;;;;;;1501.64;1139.32
A7E2V4;28512;26440.8;17568;15177;16209.2;24170.6;19640;20990.2;22479.2;20668.5;19821.7;22720.5;23896.9;29267.8;24021.4;24855.2;25409.9;13322.5;22909.5;21144;23626;23310.5;21123.6;22379.4;22658.9;29091.8;22866.5;28343.6;26713.9
A8CG34;7951.16;7515.67;10015.9;11719.3;12267.1;12782.7;13980.2;14287.7;13690.4;12157.4;9198.88;11704;10172.7;11735.4;9963.84;8624.21;9856.17;4373.05;5480.59;6055.65;5934.18;6472.16;4731.53;;;;8887.34;10620.4;8300.99
A8MWD9;140580;131373;84438.8;82150;76103.8;95433.6;106816;63513.2;99795.9;77209.5;71864.2;104631;93613;74015.6;120220;129125;82284.9;122075;95824.1;131867;100276;111298;117160;81208.4;78432.3;81887.9;61870.6;94185.2;69824.4
B7ZAQ6;19568.8;24612;22868;24635.5;22430.3;24964.6;8706.25;12056.7;12893.2;10675.3;;;;13069.5;;12035.4;13402.2;9098.65;25706.2;21897.1;18908.3;18563.5;20252.1;15800.4;15801.7;14770.8;19775.3;16277.9;20315.2
B7ZBB8;744.552;;1026.83;1105.43;1418.89;1033.99;1873.12;;691.539;;;;;;;;;;2035.64;2673;3825.86;3616.51;3130.24;1675.06;2852.6;1745.65;;;
B7ZW38;;;2526.65;3453.15;1949.58;;11637.8;6946.16;14506.9;14589.3;1460.22;12865;12756;2559.77;3374.45;12410.5;10910.4;2043.53;;;;;;10204.7;16719;847.688;7435.05;4903.03;4625
B9A064;;;;;;;;;;;;;;;;;1053.24;;;;;;;;34435.6;;;;
C4AMC7;18800.7;19260.1;14806.3;14019.7;13184;14955.6;11531.3;12469.9;12602.9;12005.8;10089.8;11206.4;14475.3;16766.9;16878.1;15049.8;16338.1;16600.9;16453.8;18697.3;18860.3;17793.4;16564.9;18354.8;18501.9;18978.4;19001.2;17027;17913.2
C9JLW8;20125.3;22919.8;13654.5;14551.9;13097;14778.9;17434.4;17638.2;14623.1;15732.4;16471.8;15018.8;20978.5;18014.1;20014.8;19093.7;19305.9;16009.6;11168.6;14526.5;12252.4;15678.1;14606.6;21251;13945.5;19818.4;17826;15935.6;22925.7
E9PAV3;333340;344685;294547;275094;265661;282141;371984;365457;337593;303742;342573;338216;310991;287838;349917;334743;294566;361001;276898;361204;254093;328919;273216;317097;264259;266518;289644;239639;313409
E9PRG8;17692;16717.5;12775;10596;10173.3;15169.4;22460.7;14792.7;17514.9;17062.3;18136.8;16632.5;12453;12363.4;16485.1;16918.3;16086;18333.7;9473.43;11568.3;10317.4;15251.2;9286.85;11106;8451.73;10449.2;10876.3;9467.19;12524.5
L0R6Q1;27201.5;27458.5;27146.2;26840.4;26319;26402.1;33905.9;31713.1;31293.9;31926.8;34023.4;36616.1;33261.3;35764.8;33568.2;32474.9;29743;30500;16277.8;21973;23231.7;21137.7;23307.7;23526.9;24381.2;25374;23823;24589.9;24679
L0R819;9367.38;12851.1;8735.98;9145.05;10050.9;9599.59;12904.6;14708.4;13607.4;13185.2;14034;11788.4;7176.61;6180.95;6260.36;7630.97;6095.56;4925.18;7504.58;10360.9;8980.08;14394.2;10469.6;11621.9;9545.91;10087.6;11206.1;9464.18;14040.8
O00115;69195;70435.6;31802.9;40777.6;38299.3;51572;148674;202344;125297;114386;171804;128172;85210.1;76078.8;87998.6;82284;80560.5;93567.3;100143;123792;90272.6;98527.3;100808;157440;132301;139169;123581;133507;206079
O00116;35873.9;35303;32232.9;35108.8;33811.9;35579.3;43814.8;47900.8;43254.7;43001.4;43450;44444.3;48237.4;47720.3;49735.5;48963.7;48904.9;47501.7;33084.2;31519.5;29650.9;31077.2;30355.7;27608.8;33451.8;31982.1;34879.2;33271;34161.8
O00139;20198.2;18762;15783.7;16492.7;17300.2;17032.9;21860.6;18777.8;24677;24577;21512;22529.7;20774.6;21151.5;21624.4;20312.6;21128.6;18849;20038.9;19886.3;20021.5;19866.8;19625.5;22791.3;22652.8;25527;24898.9;25229.2;22200.6
O00148;537251;574038;441075;399912;390400;497564;576748;662398;577910;602868;630341;637373;516158;542832;543251;546608;565581;518968;675726;627650;611793;600944;561994;607659;651320;568464;659093;607813;636531
O00151;393351;379294;308321;290131;279525;313521;268235;262761;273496;264186;264591;265865;579154;518312;597087;563418;519180;553790;302907;358444;322770;332236;355073;408592;383079;347302;349326;334078;358453
O00154;269580;275591;229830;221876;222445;234698;249114;250213;257315;259113;247919;259326;267884;293451;258822;271994;276388;265904;279892;282467;227399;248902;238205;280911;283337;290130;292202;277500;276983
O00159;63894.5;64915.9;52693.8;58473.6;58988.4;62973.6;46538.1;49476.8;48050;50804;48253.2;50026.4;69948.9;64247.9;64746.6;66750.7;66777;58566;37474.4;36138.8;32221.4;32640.3;33771.4;41928.5;38205.6;37488;37825.3;39599.2;39287.7
O00161;44597.1;50449.2;35361.2;36912.2;37408.3;47359.5;58676.6;49508.3;60357.6;57137;57589.9;58860.1;46569.4;45392.7;47585.5;49740.5;41753.6;44195.6;14660.7;15599.7;16630.8;20213.2;20860.3;19437.1;18676.7;17277.9;21321;19111.8;22037.4
O00165;33878.7;27580.8;15688.5;14960;18014.2;26782.5;55951.9;46852;66352;29949.3;58326;37350.1;23819.2;22308.5;24754;24126.1;23489.5;27775.5;25931.4;24637.8;19377.3;23836.6;19738.5;29461.1;25895.2;31006.2;22039.9;24179.7;25057
O00170;167342;166378;112451;95977.7;103626;143929;181009;182765;155286;151404;175346;156003;162115;153348;168633;155159;148661;164720;96869.8;115413;103525;115214;111867;152228;137197;139620;141987;135794;141379
O00178;12569.4;12912.5;16044.9;17091.9;15888.3;12676.5;10191.5;6687.04;11127.5;9885.19;8504.14;10807.3;15432.3;12790.2;14782.5;13512.7;14875.2;9906.05;17992.1;14212;17832.9;17134.3;17207.9;16531.4;15411.9;16345.7;15433.8;16957.1;13877.3
O00186;28645.3;29706.8;24491.4;27515.4;25694.7;26754.6;29733.8;31834.8;29779.3;27827.1;37862.7;27299.3;30730.9;35858;30662.5;30878.6;32170.5;32394.4;29322.9;27487.1;24908;25061.8;22403.3;34195.8;35682.4;40910.3;39051.4;35431.8;35992.8
O00193;56995.2;60306.9;45507.5;48718.6;45437.7;35149.6;50884.3;67379.8;53206.4;47281;48604.4;46020.6;35582.6;30816.8;38303;36638.6;28134.5;26207.2;36276.8;43007.2;54003.5;69551.1;61916.4;56540.1;48234.5;50772.5;55148.4;43040.8;55665.2
O00194;16142.1;18180.4;16462.6;20812.6;20655;20823.3;21207.4;20804.2;20973.8;23883.6;17819.7;19667.5;19344.9;19903.6;14598.5;21396;18262.2;16476.5;15841.6;19078.7;14656.2;15728.3;15903.7;21111.6;21445.9;17156.3;13877.2;16707.3;14853.4
O00203;30737.3;26119.9;20235.2;21697.3;20602.8;21355;26373.4;29415.8;27593.7;27985.2;29298.9;32247.2;37958.2;37117.7;37681;35253.6;38876.9;35566.7;29582.2;30376.9;22467.5;26931.2;22617.3;36592.2;34413.1;37476.5;38527.1;37197.1;39071.7
O00213;2221.03;;2256.25;3106.71;2334.66;2083.98;1426.9;;2362.02;1516.25;;1934.01;2633.67;2158.59;2343.09;2569.13;3684.8;2902.06;;814.489;1165.66;1650.12;1556.09;;1189.92;1683.18;2438.24;1173.36;3179.64
O00217;27158.6;26316.7;25829.6;29582.2;27404.2;29080.5;31339;16648.2;29753.2;24742.8;26841.5;27603.6;34173.5;34321.9;45454.4;37119.2;30524.6;44914.9;21669.4;22579.9;26159.2;24534;27985.8;22500.2;29657.9;35929.2;20477.1;26694.6;23471.9
O00220;949.746;1293.82;2857.19;2752.01;2157.99;1406.07;;;1547.25;;;;;;;;;;2848.29;;3881.48;3032.89;2952.48;;;;;;
O00221;9866.78;12081.7;10972.7;11599.4;12943.5;13545.5;7628.46;6073.74;7810.64;9616.06;8747.72;8411.41;8101.13;9664.88;10216.7;9904.92;10709.9;6018.81;7816.81;8343.29;7027.3;7728.16;7508.25;10242.9;10051;9534.87;5685.25;8194.64;
O00231;136274;132782;141509;143669;129879;129600;102396;109420;117308;120719;108914;127042;127431;130871;131685;126473;135629;114402;151403;137311;129646;133671;126052;121175;132499;120580;133343;144426;122950
