Protein_ID;Gene Name;log2_FC;p_val;EV_vs_shTRPV1_p.adj;significant;EV_vs_shTRPV1_significant;imputed;num_NAs
A0FGR8;ESYT2;-1.19;5.01E-17;7.77E-15;TRUE;TRUE;FALSE;0
A6NCE7;MAP1LC3B2;-2.81;3.79E-11;7.63E-10;TRUE;TRUE;FALSE;0
A6NDU8;RIMOC1;1.42;1.20E-05;5.46E-05;TRUE;TRUE;TRUE;2
A6NFQ2;TCAF2;-1.24;2.01E-06;1.11E-05;TRUE;TRUE;FALSE;0
A6NIH7;UNC119B;-1.34;3.89E-15;3.06E-13;TRUE;TRUE;FALSE;0
A6NJ78;METTL15;1.51;1.37E-09;1.70E-08;TRUE;TRUE;TRUE;6
A8CG34;POM121C;1.25;0.000861;0.00239;TRUE;TRUE;TRUE;3
B7ZAQ6;GPR89A;-1.09;0.0271;0.0498;TRUE;TRUE;TRUE;4
O00161;SNAP23;1.27;1.92E-17;3.37E-15;TRUE;TRUE;FALSE;0
O00391;QSOX1;-1.58;8.46E-15;6.21E-13;TRUE;TRUE;FALSE;0
O00443;PIK3C2A;1.23;3.63E-12;9.90E-11;TRUE;TRUE;FALSE;0
O00458;IFRD1;-1.89;1.57E-11;3.59E-10;TRUE;TRUE;FALSE;0
O00479;HMGN4;-1.66;0.00627;0.0137;TRUE;TRUE;FALSE;0
O00712;NFIB;1.23;0.000346;0.00106;TRUE;TRUE;TRUE;1
O00762;UBE2C;1.61;1.07E-08;1.09E-07;TRUE;TRUE;TRUE;2
O14531;DPYSL4;-1.1;0.00185;0.00468;TRUE;TRUE;TRUE;2
O14604;TMSB4Y;-1.61;0.0267;0.0491;TRUE;TRUE;TRUE;6
O14653;GOSR2;-1.24;1.47E-10;2.48E-09;TRUE;TRUE;FALSE;0
O14672;ADAM10;1.27;1.24E-12;3.88E-11;TRUE;TRUE;FALSE;0
O14684;PTGES;3.49;7.23E-05;0.000271;TRUE;TRUE;TRUE;14
O14773;TPP1;-1.32;6.79E-06;3.27E-05;TRUE;TRUE;FALSE;0
O14786;NRP1;-1.43;1.55E-09;1.91E-08;TRUE;TRUE;FALSE;0
O14874;BCKDK;1.66;7.09E-06;3.39E-05;TRUE;TRUE;TRUE;6
O14929;HAT1;1.15;2.61E-14;1.48E-12;TRUE;TRUE;FALSE;0
